FID,FID_1,FID_1_1,DISTRICTID,NAME,AGENCY,AGENCYURL,CONTACT,PHONE,EMAIL,SUBTYPEFIE,LASTUPDATE,LASTEDITOR,created_us,created_da,last_edite,last_edi_1,SHAPE_Leng,SHAPE_Area,Count_,Sum_Zip,Sum_Buildi,Sum_Number,Sum_Width,Sum_Length,Sum_Square,Sum_Numb_1,Sum_Occupa,Sum_Latitu,Sum_YearBu,Sum_Longit,Sum_Assess,Sum_Statio,Count_1,Sum_totalR,Sum_Exposu,Sum_Patien,Sum_RunNum,Sum_Lati_1,Sum_Long_1
24,24,24,116,Fire Central,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,8676.042095810000300,3514733.825499999800000,4,246412,0.000000000000000,5,0,0,366777,0,1352,162.832458900000010,3929,-358.288154400000000,0,2,2,4188,2,0,404000000000.000000000000000,81.412453900000003,-179.152655900000010
25,25,25,114,Fire Central,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,6457.835840040000200,1478252.066320000000000,2,123206,0.000000000000000,6,64,110,47040,60,105,81.413722899999996,0,-179.162212399999990,0,2,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
26,26,26,109,Fire Central,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,8451.699873229999900,3550044.851489999800000,2,123206,12.000000000000000,2,30,60,4600,0,0,81.415980200000007,0,-179.186440299999990,0,2,6,12564,6,0,1212000000000.000000000000000,244.255252100000010,-537.541392699999960
27,27,27,1208,Fire Station 12,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,CKOHLER,3/20/2017 0:00:00,10871.368248799999000,4275996.838360000400000,16,985648,50.000000000000000,5,0,0,6000,0,260,651.377753299999990,0,-1433.043873300000100,0,120,5,10470,5,0,1010000000000.000000000000000,203.553508999999990,-447.828562600000000
28,28,28,1207,Fire Station 12,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,CKOHLER,3/20/2017 0:00:00,8826.151645600000800,3600971.370120000100000,1,61603,0.000000000000000,0,0,0,0,0,0,40.713989400000003,0,-89.566932699999995,0,0,3,6282,3,0,606000000000.000000000000000,122.147909000000000,-268.694900000000020
29,29,29,1206,Fire Station 12,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,CKOHLER,3/20/2017 0:00:00,10345.173233699999000,2770565.238210000100000,13,800839,77.000000000000000,12,60,30,54000,2,85,529.318911599999980,0,-1164.269405800000000,0,108,1,2094,1,0,202000000000.000000000000000,40.714956999999998,-89.560266999999996
30,30,30,1205,Fire Station 12,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,CKOHLER,3/20/2017 0:00:00,10738.114240700001000,4717838.016920000300000,6,369618,51.000000000000000,4,0,0,9800,0,16,244.318956500000010,0,-537.344765000000050,0,24,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
31,31,31,1203,Fire Station 12,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,CKOHLER,3/20/2017 0:00:00,8707.628371169999800,3324362.649120000200000,3,184842,64.000000000000000,5,180,200,43200,0,0,122.179481999999990,0,-268.688948999999980,0,36,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
32,32,32,1219,Fire Station 12,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,CKOHLER,3/20/2017 0:00:00,23871.844165400002000,12959063.523800001000000,4,246454,24.000000000000000,2,175,124,43400,0,0,163.038530200000000,0,-358.274988399999980,0,48,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
33,33,33,1217,Fire Station 12,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,CKOHLER,3/20/2017 0:00:00,14226.725953300000000,5935486.928690000400000,1,61614,0.000000000000000,1,0,0,4500,0,200,40.776018399999998,0,-89.576594200000002,0,12,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
